"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 26 22:24:01 IST 2020","Sun Apr 26 22:24:02 IST 2020","1233","TestCases","test_CreateUser","","","","test_other_user",""
"broken","Sun Apr 26 22:24:04 IST 2020","Sun Apr 26 22:24:04 IST 2020","67","TestCases","test_oauth_authentication","","","","test_oauth_details",""
"passed","Sun Apr 26 22:23:59 IST 2020","Sun Apr 26 22:23:59 IST 2020","472","TestCases","test_AddNewStudent","","","","test_add_student_details",""
"passed","Sun Apr 26 22:24:04 IST 2020","Sun Apr 26 22:24:04 IST 2020","480","TestCases","test_end_to_end","","","","test_add_new_data",""
"passed","Sun Apr 26 22:23:59 IST 2020","Sun Apr 26 22:23:59 IST 2020","57","TestCases","test_AddNewStudent","","","","test_delete_student_details",""
"passed","Sun Apr 26 22:23:59 IST 2020","Sun Apr 26 22:23:59 IST 2020","50","TestCases","test_AddNewStudent","","","","test_update_student_details",""
"broken","Sun Apr 26 22:24:00 IST 2020","Sun Apr 26 22:24:00 IST 2020","32","TestCases","test_AddNewStudent","","","","test_get_student_details",""
"passed","Sun Apr 26 22:24:02 IST 2020","Sun Apr 26 22:24:03 IST 2020","874","TestCases","test_GetUserData","","","","test_fetch_user_details",""
"passed","Sun Apr 26 22:24:04 IST 2020","Sun Apr 26 22:24:04 IST 2020","29","TestCases","test_request_channing","","","","test_get_details",""
"passed","Sun Apr 26 22:24:00 IST 2020","Sun Apr 26 22:24:01 IST 2020","1181","TestCases","test_CreateUser","","","","test_create_user",""
"passed","Sun Apr 26 22:24:03 IST 2020","Sun Apr 26 22:24:04 IST 2020","642","TestCases","test_add_student_multiple_data","","","","test_add_student_multiple",""
"passed","Sun Apr 26 22:24:04 IST 2020","Sun Apr 26 22:24:04 IST 2020","49","TestCases","test_request_channing","","","","test_add_new_student",""
